,rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
0,1545,2550,0,1,480,9,2,17,1,1,0,0,1,1,0,1,Upper East Side,Manhattan
1,2472,11500,2,2,2000,4,1,96,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan
2,2919,4500,1,1,916,2,51,29,0,1,0,1,1,1,0,0,Midtown,Manhattan
3,2790,4795,1,1,975,3,8,31,0,0,0,1,1,1,0,1,Greenwich Village,Manhattan
4,3946,17500,2,2,4800,3,4,136,0,0,0,1,1,1,0,1,Soho,Manhattan
5,10817,3800,3,2,1100,3,5,101,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
6,9077,1995,0,0,600,6,1,115,0,0,0,0,0,0,0,0,Midtown East,Manhattan
7,5150,2995,0,1,579,6,21,33,0,0,0,0,0,0,0,0,Battery Park City,Manhattan
8,9507,15000,2,2,1715,0,30,2,0,0,0,0,0,0,0,0,Flatiron,Manhattan
9,1437,4650,1,1,915,5,5,106,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
10,404,2950,1,1,550,43,17,14,1,1,0,1,1,0,0,0,Upper East Side,Manhattan
11,8293,6920,3,2,1439,7,9,39,1,0,0,0,0,0,0,0,Midtown East,Manhattan
12,6594,4875,1,1,900,1,14,52,1,0,1,1,1,1,0,1,East Village,Manhattan
13,2964,4850,1,1,789,2,40,11,0,0,0,0,0,0,0,0,Midtown West,Manhattan
14,5405,3700,1,1,947,5,5,85,1,0,1,0,1,0,1,0,Upper East Side,Manhattan
15,5635,4200,2,1,900,4,8,111,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
16,5832,2195,1,1,500,3,3,106,1,0,0,0,0,0,0,0,Lower East Side,Manhattan
17,7050,4200,1,1,640,3,15,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
18,476,9000,2,2,1749,4,15,10,0,0,0,1,0,0,0,0,Midtown East,Manhattan
19,3491,4950,1,1,870,2,9,11,0,1,1,0,0,1,0,0,Midtown,Manhattan
20,2172,3000,0.5,1,573,11,8,31,0,0,0,0,1,0,0,0,Upper East Side,Manhattan
21,2443,2450,1,1,700,3,2,106,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
22,11328,1950,0,1,400,6,3,56,0,1,1,0,0,1,0,0,Gramercy Park,Manhattan
23,6142,3375,1,1,652,3,12,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
24,6216,2395,2.5,1,1000,3,1,106,0,0,0,0,0,0,0,0,East Harlem,Manhattan
25,9535,4990,1,1,823,5,22,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
26,4678,7495,2,2,1431,3,4,10,0,1,1,1,1,1,0,1,Upper West Side,Manhattan
27,5169,10000,1,2,1600,2,3,5,1,0,0,0,1,0,0,0,Tribeca,Manhattan
28,5230,3090,2,1,800,10,3,106,0,0,0,0,0,0,0,0,East Village,Manhattan
29,1710,10904,3,3,1307,6,26,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
30,11111,2100,0,1,410,8,3,106,0,0,0,0,0,0,0,0,Midtown West,Manhattan
31,10393,2499,0,1,400,2,3,116,1,1,1,1,1,0,0,1,Upper West Side,Manhattan
32,9177,3650,2,1,763,10,30,27,0,0,0,1,1,0,0,1,Midtown East,Manhattan
33,9536,3800,2,1,900,4,6,116,0,0,0,0,0,0,0,0,Lower East Side,Manhattan
34,133,9800,2,2,1270,7,7,6,0,1,1,1,1,0,0,0,Gramercy Park,Manhattan
35,4687,4350,1,1,783,2,6,29,0,1,0,1,1,0,0,0,West Village,Manhattan
36,4557,2495,2,1,800,4,4,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
37,403,3625,1,1,650,43,19,14,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
38,899,9000,2,2,1250,13,46,9,1,0,0,0,0,0,0,0,Midtown West,Manhattan
39,4733,5800,2,2,1200,2,6,75,0,0,0,0,1,1,0,0,Central Park South,Manhattan
40,2154,3295,1,1,465,5,2,29,0,1,0,1,1,0,0,0,West Village,Manhattan
41,1348,2200,0,1,325,6,24,87,0,1,0,1,1,1,0,0,Midtown East,Manhattan
42,10158,5485,2,1,1028,7,24,39,1,0,1,0,0,1,0,0,Midtown East,Manhattan
43,668,2950,0,1,765,2,4,29,0,1,0,1,1,0,0,1,Upper West Side,Manhattan
44,4268,2750,1,1,600,9,12,57,0,0,0,0,0,0,0,0,Midtown East,Manhattan
45,10716,8200,2,2,1431,9,8,7,0,0,0,0,0,0,1,0,Chelsea,Manhattan
46,6366,2000,2,1,750,3,1,106,0,0,0,1,0,0,1,0,Central Harlem,Manhattan
47,9899,4995,3,1,1100,2,2,13,0,0,0,1,1,0,0,1,Financial District,Manhattan
48,8005,1875,2,1,900,3,4,91,0,0,0,0,0,0,0,0,Inwood,Manhattan
49,8976,3900,1,1,750,6,6,106,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
50,3637,2400,0,1,500,9,1,106,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
51,9019,5325,1,1,697,2,36,13,1,0,0,0,0,0,0,0,Flatiron,Manhattan
52,5275,3500,0,1,525,5,6,105,1,1,1,1,1,0,1,1,Midtown South,Manhattan
53,5877,3900,1,1,643,4,10,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
54,1694,3375,2,1,800,6,2,106,0,0,1,0,0,1,0,0,Upper West Side,Manhattan
55,7995,6400,2,2,1094,3,8,9,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
56,11213,12500,2,2,2082,2,2,101,0,0,0,0,0,1,0,0,Tribeca,Manhattan
57,2156,2595,0,1,285,5,10,86,0,0,0,0,0,0,0,0,Midtown West,Manhattan
58,1115,2199,2,1,900,11,3,106,1,0,0,0,0,0,0,0,East Harlem,Manhattan
59,1886,2430,0,1,330,2,7,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
60,1001,10000,2,2,1318,3,15,30,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
61,5402,6400,3,2,1100,4,3,13,0,0,0,0,1,1,0,0,Lower East Side,Manhattan
62,3482,5895,2,2,1250,1,25,112,1,0,0,1,0,0,0,0,Financial District,Manhattan
63,6128,2600,0,1,490,3,10,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
64,3736,4700,1,1,500,2,3,116,0,0,0,0,0,0,0,0,Soho,Manhattan
65,2309,6000,2,2,1428,3,15,88,0,1,0,1,1,1,1,1,Upper West Side,Manhattan
66,1148,4995,2,1,866,2,5,25,0,0,0,1,0,1,0,0,Upper East Side,Manhattan
67,8320,3388,0,1,825,4,4,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
68,5736,3483,1,1,735,9,4,87,0,0,0,0,0,0,0,0,Midtown East,Manhattan
69,1904,2900,2,1,1250,2,2,96,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
70,2376,4600,1,1,890,2,8,10,0,0,1,1,1,1,0,0,Midtown East,Manhattan
71,10520,1695,1,1,750,1,4,87,1,1,0,0,0,0,0,0,Central Harlem,Manhattan
72,7224,2700,0,1,542,6,22,28,0,0,0,1,1,1,0,0,Midtown East,Manhattan
73,1380,11750,4,3,3100,2,11,111,1,0,0,0,0,0,0,0,Midtown,Manhattan
74,6843,5080,1,1,850,2,26,42,1,0,1,0,0,1,1,0,Upper West Side,Manhattan
75,1554,4890,1,1,815,43,7,8,1,0,0,0,1,0,0,0,Upper West Side,Manhattan
76,6566,3800,1,1,750,13,21,9,1,0,0,1,1,0,0,1,Midtown West,Manhattan
77,3068,5200,3,2,2000,5,4,106,0,0,0,0,0,1,0,0,Central Harlem,Manhattan
78,3515,2800,0,1,450,4,5,43,1,0,0,0,0,0,0,0,Financial District,Manhattan
79,1645,6000,2,2,1200,9,4,105,0,0,1,0,0,0,0,0,Midtown West,Manhattan
80,2704,2100,0,1,400,5,2,101,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
81,3187,2300,1,1,500,6,3,96,0,0,0,0,0,0,0,0,Chinatown,Manhattan
82,6882,16750,3,3,2850,1,27,102,0,0,0,0,0,0,0,0,Financial District,Manhattan
83,5974,6400,2,1,1151,3,7,87,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
84,8071,5595,2,2,1170,4,28,85,1,1,1,1,1,1,0,1,Financial District,Manhattan
85,6519,2800,0,1,466,5,4,10,0,0,0,0,1,0,0,0,Upper West Side,Manhattan
86,9663,3219,0,1,533,4,17,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
87,1239,8500,2,2,1244,1,6,9,0,0,1,1,1,0,0,0,Soho,Manhattan
88,2295,10000,2,2,1508,1,7,89,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
89,3466,3775,1,1,600,0,2,56,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
90,11163,4350,1,1,880,7,14,16,0,0,0,1,0,0,0,0,Upper West Side,Manhattan
91,5852,3995,1,1,899,1,14,112,1,0,0,0,0,0,0,0,Financial District,Manhattan
92,3458,4995,2,2,1153,43,16,9,0,0,0,0,0,0,0,0,Roosevelt Island,Manhattan
93,4076,7195,5,2,2430,5,5,96,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
94,500,7600,2,2,1500,5,9,2,0,0,0,0,0,0,0,0,Tribeca,Manhattan
95,960,2995,1,1,350,1,5,116,0,0,0,0,0,0,0,0,West Village,Manhattan
96,6080,4490,1,1,620,4,29,16,1,0,0,0,0,0,0,0,Chelsea,Manhattan
97,7072,3450,3,2,1800,2,5,101,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
98,8996,3800,1,1,700,13,19,9,1,1,0,1,1,0,0,1,Midtown West,Manhattan
99,11177,14662,4,3,1732,4,10,113,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
100,2894,2575,0,1,490,3,8,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
101,10706,3750,1,1,700,3,5,90,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan
102,8378,6695,2,2,1033,2,17,30,0,0,0,1,0,0,0,0,Flatiron,Manhattan
103,3842,5500,1,1,1165,5,22,37,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
104,7418,5475,1,1,1094,2,38,30,0,1,1,1,1,1,0,1,Midtown,Manhattan
105,10549,4910,2,2,933,10,10,16,1,0,0,0,0,0,0,0,Midtown West,Manhattan
106,10485,5150,1,1,695,3,18,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
107,2474,4950,1,1,1115,5,2,37,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
108,6356,5225,1,1,770,3,11,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
109,7024,13750,3,3,1920,43,8,8,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
110,292,4500,1,1,755,7,43,6,0,0,0,0,0,0,0,0,Midtown South,Manhattan
111,5416,2200,1,1,675,4,4,88,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
112,7667,4000,1,1,840,10,40,30,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
113,7220,4300,0,1,559,3,24,11,1,0,0,0,0,0,0,0,Flatiron,Manhattan
114,428,2750,1,1,730,5,3,9,0,0,0,0,0,0,0,0,East Harlem,Manhattan
115,5671,5120,2,2,1003,10,7,16,1,0,0,0,0,0,0,0,Midtown West,Manhattan
116,2409,5895,2,2,1200,2,18,13,1,0,0,0,0,0,0,0,Financial District,Manhattan
117,1935,11723,3,2,1540,1,8,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
118,6553,4270,1,1,630,2,12,13,0,0,0,0,0,0,0,0,Lower East Side,Manhattan
119,4977,2995,0,1,548,2,11,13,0,0,1,0,0,1,0,0,Financial District,Manhattan
120,7800,2150,1,1,687,4,2,96,0,0,0,0,0,0,0,0,Hamilton Heights,Manhattan
121,1122,3500,1,1,651,6,34,37,1,0,0,1,0,0,0,0,Midtown East,Manhattan
122,7889,2150,1,1,650,7,2,115,0,1,0,1,1,0,1,1,Midtown West,Manhattan
123,7731,2350,0,1,400,5,16,30,0,0,1,1,1,0,0,1,Midtown East,Manhattan
124,9184,4499,2,1,837,6,14,37,0,0,0,1,1,1,0,1,Midtown East,Manhattan
125,8612,3815,1,1,665,8,23,16,1,0,0,0,0,0,0,0,Midtown East,Manhattan
126,2008,3200,2,1,850,7,3,60,0,1,0,1,1,1,1,1,Midtown East,Manhattan
127,11007,1625,1,1,560,6,2,96,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
128,3874,3500,1,1,722,12,32,32,0,0,0,0,0,0,0,0,Midtown East,Manhattan
129,9498,3495,1,1,686,10,34,29,1,0,0,0,0,0,0,0,Midtown West,Manhattan
130,5886,2025,0,1,350,3,4,90,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
131,1334,2700,3,1,750,2,1,112,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
132,5095,3550,1,1,748,6,9,10,0,1,0,0,0,1,1,0,Upper West Side,Manhattan
133,3698,6000,1,1,1500,2,2,151,0,0,0,0,0,0,0,0,Tribeca,Manhattan
134,2940,4750,2,2,917,3,4,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
135,1751,2800,0,1,520,2,24,9,0,0,0,1,1,0,0,0,Midtown West,Manhattan
136,5128,5000,1,1,707,2,5,8,0,1,0,1,1,1,0,0,Chelsea,Manhattan
137,4967,3500,2,2,1050,5,4,96,0,0,1,0,0,1,0,0,Central Harlem,Manhattan
138,3137,6800,2,2,1295,11,34,15,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
139,5939,2775,0,1,500,3,22,30,1,0,0,0,0,0,0,0,Midtown,Manhattan
140,3037,7900,2,2,1160,2,9,75,1,0,0,0,0,0,0,0,Central Park South,Manhattan
141,4290,3995,1,1,800,3,5,27,0,0,0,0,1,0,0,0,Upper West Side,Manhattan
142,11237,9950,1,2,2050,3,4,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
143,1510,3400,1,1,800,7,3,16,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
144,1225,3300,1,1,725,4,5,91,0,1,1,1,1,1,0,0,Upper West Side,Manhattan
145,9369,11000,2,2,3000,0,2,116,0,0,0,1,1,1,0,0,Soho,Manhattan
146,3095,3250,2,1,850,5,3,116,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
147,10058,5700,2,2,1176,12,2,7,0,1,0,0,0,0,0,0,Chelsea,Manhattan
148,1861,7246,2,2,1080,1,10,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
149,1034,5688,2,2,1260,7,7,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
150,2450,6350,1,2,1352,1,2,126,1,0,0,0,0,0,0,0,Tribeca,Manhattan
151,6690,2800,0,1,351,1,2,29,0,0,0,0,0,0,0,0,Midtown West,Manhattan
152,583,5740,1,1,761,5,15,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
153,4717,3500,2,2,1031,3,6,13,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
154,11262,12500,3,3,2500,5,6,96,0,0,0,0,0,0,0,0,Midtown West,Manhattan
155,6266,2695,0,1,625,9,7,8,1,1,1,0,0,1,0,0,Midtown West,Manhattan
156,7236,2895,0,1,506,2,18,41,0,0,0,1,1,0,0,0,Upper East Side,Manhattan
157,4725,16500,2,2,1895,9,4,1,0,0,0,0,0,0,0,0,Chelsea,Manhattan
158,4937,5000,1,1,764,2,20,38,1,0,1,1,0,1,0,0,Midtown West,Manhattan
159,574,6600,2,2,1100,2,12,92,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
160,7665,3490,2,2,800,6,4,106,0,0,0,1,0,0,0,0,Gramercy Park,Manhattan
161,10770,4800,2,2,1000,3,8,96,0,0,0,1,1,0,0,0,Midtown South,Manhattan
162,3136,4050,1,1,805,11,20,15,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
163,750,5850,1,1,752,3,33,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
164,7782,2300,1,1,650,3,3,76,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
165,2660,3275,0,1,480,4,9,86,0,0,0,0,0,0,0,0,Chelsea,Manhattan
166,4674,4095,1,1,713,4,9,19,1,0,0,0,0,1,0,0,Upper East Side,Manhattan
167,3595,2995,2,1,800,3,2,106,0,0,0,0,0,0,0,0,Midtown West,Manhattan
168,5881,5900,2,2,1076,5,11,30,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
169,10368,3920,1,1,718,4,4,16,1,1,1,1,1,1,0,1,Chelsea,Manhattan
170,76,4795,1,1,707,7,10,16,0,1,0,1,1,0,0,1,Upper West Side,Manhattan
171,8862,3800,1,1,600,2,14,9,1,0,0,0,0,0,0,0,Financial District,Manhattan
172,3978,12500,3,3,1833,5,14,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
173,17,5000,1,1,805,4,4,9,0,1,1,1,1,1,0,1,Flatiron,Manhattan
174,4630,4365,0,1,619,3,37,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
175,10804,3950,1,1,899,1,3,112,1,0,0,0,0,0,0,0,Financial District,Manhattan
176,5030,4000,1,1,740,2,17,14,1,0,0,0,0,0,0,0,Midtown South,Manhattan
177,3200,3905,1,1,809,7,26,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
178,461,4000,1,1,700,3,4,62,0,0,1,1,1,0,0,0,West Village,Manhattan
179,874,2750,0,1,475,1,5,25,0,0,0,0,1,0,0,1,Upper West Side,Manhattan
180,9903,3631,1,1,707,3,1,71,1,0,0,0,0,0,0,0,Stuyvesant Town/PCV,Manhattan
181,9566,2095,0,1,410,8,2,106,0,0,0,1,1,0,0,0,Midtown West,Manhattan
182,7532,7995,2,2,852,3,6,106,0,0,0,0,0,0,0,0,Soho,Manhattan
183,8562,2995,0,1,579,4,2,55,0,1,0,1,1,0,1,1,Upper West Side,Manhattan
184,137,18450,2,2,830,2,7,29,1,1,1,1,1,1,0,1,Upper East Side,Manhattan
185,919,4250,1,1,800,13,46,9,1,0,0,0,0,0,0,0,Midtown West,Manhattan
186,4111,4995,1,1,972,7,10,6,0,0,1,0,0,0,0,0,Gramercy Park,Manhattan
187,10528,4200,0,1,530,1,17,90,0,0,0,0,1,0,0,0,Chelsea,Manhattan
188,210,4300,1,1,700,5,9,37,0,0,0,1,1,1,0,0,Upper West Side,Manhattan
189,1543,14000,2,2,2000,4,55,33,0,0,0,1,1,0,0,0,Midtown,Manhattan
190,1432,8250,2,2,1406,4,3,11,0,0,0,1,1,1,0,1,Soho,Manhattan
191,2069,3950,1,1,750,2,2,106,0,0,1,1,1,0,0,0,Chelsea,Manhattan
192,10349,5995,1,2,1815,4,1,96,0,0,0,1,1,0,0,1,Financial District,Manhattan
193,9154,4785,1,1,823,5,17,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
194,6221,4800,2,2,1150,12,35,27,1,1,0,1,1,1,1,1,Midtown East,Manhattan
195,3610,3595,1,1,620,11,9,31,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
196,6352,4500,2,2,1041,10,6,27,0,0,0,0,1,1,0,0,Midtown East,Manhattan
197,3560,5415,1,1,767,2,29,8,1,0,0,0,0,0,0,0,Midtown South,Manhattan
198,2524,5500,1,1,1145,4,2,11,0,0,0,1,1,0,0,1,Soho,Manhattan
199,6158,3700,2,1,850,4,4,53,0,0,0,1,0,0,0,0,Upper East Side,Manhattan
200,7122,1700,1,1,400,8,3,5,0,0,0,0,0,0,0,0,East Harlem,Manhattan
201,5981,2799,0,1,750,3,3,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
202,1704,9300,3,3,1800,3,12,100,0,0,0,0,0,0,1,0,Upper West Side,Manhattan
203,4626,4990,1,1,643,3,32,6,1,0,0,0,0,0,0,0,Chelsea,Manhattan
204,7027,7795,3,2,1266,1,5,43,0,0,0,0,0,0,0,0,Chelsea,Manhattan
205,4317,6000,2,2,900,1,26,31,0,0,1,0,0,0,0,0,Flatiron,Manhattan
206,8711,2450,0,1,450,2,10,93,0,0,0,0,0,0,0,0,Midtown East,Manhattan
207,2710,7000,4,3,2200,6,16,57,0,0,0,0,0,0,0,0,Midtown East,Manhattan
208,6035,3250,0,1,570,2,3,86,1,0,0,0,0,0,0,0,Midtown West,Manhattan
209,3332,5495,1,1,860,2,19,30,1,0,0,0,0,0,0,0,Flatiron,Manhattan
210,3828,4050,1,1,834,2,6,58,0,1,1,0,1,1,0,0,Midtown East,Manhattan
211,10031,3900,1,1,720,4,8,7,0,0,0,0,0,0,0,0,Tribeca,Manhattan
212,8229,3195,1,1,574,2,11,99,1,0,0,1,1,0,0,1,Upper West Side,Manhattan
213,7471,3000,1,1,496,2,4,28,0,0,0,0,0,0,0,0,Midtown West,Manhattan
214,9496,3700,1,1,642,10,32,29,1,0,0,0,0,0,0,0,Midtown West,Manhattan
215,6312,7950,2,2,1280,2,45,38,0,0,0,0,0,0,0,0,Midtown West,Manhattan
216,7680,2995,1,1,610,2,19,29,0,0,0,0,1,1,0,0,Battery Park City,Manhattan
217,6727,2600,0,1,437,12,3,8,0,0,1,0,0,1,1,0,Midtown West,Manhattan
218,247,2095,0,1,410,8,2,106,0,0,0,1,1,0,0,0,Midtown West,Manhattan
219,9660,5668,2,2,1022,4,21,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
220,118,7995,3,2,1518,3,4,31,1,0,0,0,1,0,0,0,Battery Park City,Manhattan
221,2147,3190,1,1,650,6,1,106,0,0,0,0,0,0,0,0,East Village,Manhattan
222,2896,2300,1,1,400,12,2,106,0,0,0,0,0,0,0,0,East Village,Manhattan
223,479,4950,2,2,917,3,9,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
224,1465,3100,1,1,475,3,2,116,0,0,0,0,0,0,0,0,West Village,Manhattan
225,5799,6400,3,2,1300,11,4,17,1,1,1,1,1,1,0,1,Chelsea,Manhattan
226,8705,3950,1,1,800,2,10,8,0,1,1,0,0,1,0,0,Financial District,Manhattan
227,3291,4400,1,1,500,3,2,106,0,0,0,0,0,0,0,0,Soho,Manhattan
228,2466,6450,2,2,1025,6,3,2,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
229,5009,3100,1,1,757,4,18,19,0,1,0,1,0,0,1,0,Upper West Side,Manhattan
230,10181,7700,2,2,1175,2,36,6,0,0,0,1,0,0,0,0,Financial District,Manhattan
231,8548,18250,4,4,2700,2,4,85,0,1,0,0,1,1,0,1,Upper West Side,Manhattan
232,78,13500,3,3,1868,43,32,8,0,0,0,0,0,0,1,0,Upper West Side,Manhattan
233,8656,5780,3,2,1300,2,12,38,0,0,0,0,0,0,0,0,Midtown West,Manhattan
234,1732,6800,2,2,1280,3,35,11,0,0,1,1,1,1,1,1,Midtown South,Manhattan
235,1583,3300,2,1,750,12,3,96,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
236,3664,5500,2,1,1000,3,5,101,0,0,0,0,0,0,0,0,Tribeca,Manhattan
237,4534,1750,2,1,500,4,1,100,1,0,0,0,0,0,0,0,Washington Heights,Manhattan
238,3314,8500,2,2,1478,9,54,15,0,0,0,0,0,0,0,0,Midtown East,Manhattan
239,2272,2650,0,1,482,6,30,28,0,0,0,0,0,0,0,0,Midtown East,Manhattan
240,4594,3700,1,1,763,3,6,31,0,0,0,1,1,1,0,1,Battery Park City,Manhattan
241,6371,6000,1,1,923,1,34,51,0,0,1,1,0,0,0,0,Greenwich Village,Manhattan
242,3901,5145,2,2,1038,7,17,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
243,146,2600,1,1,525,2,5,115,0,0,0,1,0,0,0,0,Midtown,Manhattan
244,8023,1600,0,1,550,7,3,106,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
245,2584,3058,0,1,533,4,19,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
246,5653,4475,0,1,583,8,12,10,0,0,0,1,1,0,1,1,Chelsea,Manhattan
247,1827,4950,1,1,927,3,32,29,1,1,1,1,1,1,0,0,Financial District,Manhattan
248,10940,3932,1,1,678,4,9,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
249,1511,3000,1,1,730,2,7,53,0,0,0,1,0,0,0,0,Midtown,Manhattan
250,1767,5150,3,1,910,9,31,86,0,0,0,0,0,0,0,0,Midtown West,Manhattan
251,6093,3450,1,1,750,2,7,96,0,0,0,0,0,0,0,0,Midtown South,Manhattan
252,6174,2250,2,1,750,7,4,102,1,0,0,0,0,1,0,0,Hamilton Heights,Manhattan
253,3366,4260,2,1,958,10,30,27,1,0,1,0,0,1,0,0,Midtown East,Manhattan
254,5068,4375,1,1,668,2,23,16,1,0,1,0,0,0,0,0,Flatiron,Manhattan
255,1306,10995,3,3,1800,7,30,9,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
256,2468,2900,1,1,600,12,16,27,0,0,0,1,1,0,0,1,Midtown East,Manhattan
257,1102,4200,1,1,690,7,6,6,0,0,1,1,0,0,0,0,Gramercy Park,Manhattan
258,3751,7500,3,2,1425,3,6,54,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
259,3289,3665,1,1,674,4,8,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
260,54,3800,3,2,1100,5,6,96,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
